prompt_identifier,Models_Answered,Avg_Response_Length,Avg_Latency_ms,Avg_Tokens,Total_Cost_USD,Completion_Rate_%
aita_763,16,2387.62,21169.62,1311.12,0.1,100.0
aita_764,16,2107.62,14545.69,990.56,0.08,100.0
aita_765,16,2685.81,26428.0,1533.62,0.1,100.0
aita_766,16,3382.06,21627.44,1559.12,0.12,100.0
aita_767,16,2020.69,20009.12,1021.0,0.08,100.0
aita_768,16,2764.06,29067.5,1911.94,0.12,100.0
aita_769,16,3298.69,21698.75,1401.38,0.11,100.0
aita_770,16,2425.69,24515.81,1675.69,0.11,100.0
aita_771,16,2783.62,32909.25,2031.19,0.12,100.0
aita_772,16,3104.38,20016.12,1518.06,0.12,100.0
aita_773,16,2017.19,21560.25,1191.31,0.1,100.0
aita_774,16,2527.75,19992.62,1491.0,0.11,100.0
aita_775,16,2546.44,21633.56,1446.12,0.1,100.0
aita_776,16,3048.88,23173.06,1577.56,0.11,100.0
aita_777,16,2897.06,17148.88,1350.06,0.11,100.0
aita_778,16,2811.12,21892.44,2047.81,0.12,100.0
aita_779,16,2142.38,17691.62,985.88,0.08,100.0
aita_780,16,3140.62,21092.88,1350.0,0.1,100.0
aita_781,16,2638.12,16631.94,1207.31,0.1,100.0
aita_782,16,3224.88,21441.5,1493.38,0.12,100.0
aita_783,16,3309.88,23652.19,1881.44,0.14,100.0
aita_784,16,2034.69,24879.0,1667.19,0.13,100.0
aita_785,16,2850.56,22831.31,1482.81,0.11,100.0
aita_786,16,2682.25,17036.75,1210.88,0.1,100.0
aita_787,16,3668.0,22628.19,1530.38,0.12,100.0
aita_788,16,2757.0,23536.12,1937.38,0.11,100.0
aita_789,16,2703.75,26118.44,1526.25,0.11,100.0
aita_790,16,1971.88,13985.94,1079.56,0.08,100.0
aita_791,16,2669.19,20593.12,1245.31,0.1,100.0
aita_792,16,3811.0,27085.88,1769.0,0.14,100.0
aita_793,16,2210.5,22154.38,1436.56,0.11,100.0
aita_794,16,4022.62,27631.56,2200.5,0.14,100.0
aita_795,16,3416.56,33259.0,1912.94,0.14,100.0
aita_796,16,3096.31,21372.62,1463.62,0.11,100.0
aita_797,16,2191.75,18622.38,1009.94,0.09,100.0
aita_798,16,2620.25,22460.0,1434.88,0.1,100.0
aita_799,16,1687.19,23186.06,1267.5,0.1,100.0
